,published,description,images,post_url,external_links,like_url
0,22 h,"استقبل رئيس الجمهورية قيس سعيّد، اليوم الإثنين 25 أكتوبر 2021، السيّد محمد الرقيق، وزير أملاك الدولة والشؤون العقارية.
 وأكّد رئيس الدولة على ضرورة الحفاظ على أملاك الدولة واسنادها للاستغلال على وجه الكراء لفائدة الشباب العاطل عن العمل خاصة.
 كما تمّ التطرّق إلى موضوع اسناد الأراضي الدولية بعقود مبرمة…",['https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/cp0/e15/q65/s261x260/248373776_4754926191232067_8307752293918787460_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=8024bb&_nc_ohc=AJ33eEMFG9AAX9WdPnn&_nc_ht=scontent.ftun16-1.fna&oh=6c18f73dc27181bcda6cfcaece095246&oe=619EC5AB'],,[],
1,23 h,"استقبل رئيس الجمهورية قيس سعيّد، اليوم الإثنين 25 أكتوبر 2021، السيّد توفيق شرف الدين، وزير الداخلية.
 واستمع رئيس الدولة، خلال هذا اللقاء، إلى عرض حول الوضع الأمني العام في البلاد، خاصة إثر تهاطل الأمطار في تونس.
 كما أكّد رئيس الجمهورية على أن المرافق العمومية تابعة للدولة، وشدّد على ضرورة معاملة…",['https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/cp0/e15/q65/s261x260/248327923_4754873267904026_3488131638693066958_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8024bb&_nc_ohc=9Xd8avk8yvYAX9xZZAn&_nc_ht=scontent.ftun16-1.fna&oh=409866fbef35997250c72dcc22afb040&oe=619CD76C'],,[],
